id,thai,romanization,english,category,used_in_lessons,reviewer_ok,reviewer_correction,reviewer_note
"v39","สตาร์ทเครื่อง","sà-dtàat-krêuang","to start the engine","verbs","","","",""
"v40","เดินทางไปทำงาน","dern-taang-bpai-tam-ngaan","to commute","verbs","","","",""
"v41","นั่งแท็กซี่","nâng-táek-sêe","to take a taxi","verbs","","","",""
"v42","ซ่อม","sôm","to repair","verbs","","","",""
"v43","ลาก","lâak","to tow","verbs","","","",""
"v44","เกิดอุบัติเหตุ","gèrt-ù-bàt-dtì-hàyt","to have an accident","verbs","","","",""
"v45","เปลี่ยนยาง","bplìan-yaang","to change a tyre","verbs","","","",""
"v46","มียางแบน","mee-yaang-bairn","to have a flat tyre","verbs","","","",""
"v47","ขี่จักรยาน","kèe-jàk-grà-yaan","to cycle","verbs","","","",""
"v48","ไปขี่จักรยาน","bpai-kèe-jàk-grà-yaan","to go for a bike ride","verbs","","","",""
"v49","ยางรั่ว","yaang-rûa","to get a puncture","verbs","","","",""
"v50","เปลี่ยนขบวนรถ","bplìan-kà-buan-rót","to change trains","verbs","","","",""
"v51","ไปขึ้นรถโดยสาร","bpai-kêun-rót-dohy-sǎan","to catch the bus","verbs","","","",""
"v52","เช็คอิน","chék-in","to check in","verbs","","","",""
"v53","ลงเรือ","long-reua","to board (a boat)","verbs","","","",""
"v54","แล่นเรือ","lâen-reua","to sail","verbs","","","",""
"v55","จอดเรือ","jòrt-reua","to dock","verbs","","","",""
"v56","เช่า","châo","to rent","verbs","","","",""
"v57","เป็นเจ้าของ","bpen-jâo-kǒrng","to own","verbs","","","",""
"v58","ย้ายบ้าน","yáai-bâan","to move house","verbs","","","",""
"v59","ตกแต่ง","dtòk-dtèng","to decorate","verbs","","","",""
"v60","กดเปิดประตูให้เข้า","gòt-bpèrt-bprà-dtoo-hâi-kâo","to buzz somebody in","verbs","","","",""
"v61","เข้ามา","kâo-maa","to come in","verbs","","","",""
"v64","พักผ่อน","pák-pòrn","to relax","verbs","","","",""
"v65","ดูทีวี","doo-tee-wee","to watch TV","verbs","","","",""
"v66","ทำอาหาร","tam-aa-hǎan","to cook","verbs","","","",""
"v67","ต้ม","dtôm","to boil","verbs","","","",""
"v68","ทอด","tôrt","to fry","verbs","","","",""
"v69","ผัด","pàt","to stir-fry","verbs","","","",""
"v70","นึ่ง","nêung","to steam","verbs","","","",""
"v71","ล้างจาน","láang-jaan","to wash up","verbs","","","",""
"v72","เช็ด","chét","to wipe / clean","verbs","","","",""
"v73","จัดโต๊ะ","jàt-dtó","to set the table","verbs","","","",""
"v74","ทานอาหาร","taan-aa-hǎan","to dine","verbs","","","",""
"v75","เก็บโต๊ะ","gèp-dtó","to clear the table","verbs","","","",""
"v76","ไปนอน","bpai-norn","to go to bed","verbs","","","",""
"v77","จัดเตียง","jàt-dtiang","to make the bed","verbs","","","",""
"v78","ตื่น","dtèun","to wake up","verbs","","","",""
"v79","เปลี่ยนผ้าปูที่นอน","bplìan-pâa-bpoo-têe-norn","to change the sheets","verbs","","","",""
"v80","อาบน้ำ","àap-náam","to have a bath / shower","verbs","","","",""
"v83","ไปเข้าห้องน้ำ","bpai-kâo-hông-náam","to go to the toilet","verbs","","","",""
"v84","รดน้ำต้นไม้","rót-náam-dtôn-máai","to water (plants)","verbs","","","",""
"v85","ปลูก","bplòok","to grow / plant","verbs","","","",""
"v86","ถอนหญ้า","tǒrn-yâa","to weed","verbs","","","",""
"v87","กวาด","gwàat","to sweep the floor","verbs","","","",""
"v88","ซักผ้า","sák-pâa","to do the laundry","verbs","","","",""
"v89","ดูดฝุ่น","dòot-fùn","to hoover / vacuum","verbs","","","",""
"v90","จัดห้อง","jàt-hông","to tidy up","verbs","","","",""
"v91","ทำความสะอาด","tam-kwaam-sà-àat","to clean","verbs","","","",""
"v92","เอาขยะไปทิ้ง","ao-kà-yà-bpai-tíng","to take out the rubbish","verbs","","","",""
"v93","จ่าย","jàai","to pay","verbs","","","",""
"v94","ซื้อของ","séu-kǒrng","to shop / go shopping","verbs","","","",""
"v95","ดูเฉยๆ","doo-chǒey-chǒey","to browse","verbs","","","",""
"v96","หั่นเป็นชิ้นลูกเต๋า","hàn-bpen-chín-lôok-dtǎo","to dice","verbs","","","",""
"v97","ขูด","kòot","to grate","verbs","","","",""
"v98","คั้น","kán","to juice","verbs","","","",""
"v99","ปอก","bpòrk","to peel","verbs","","","",""
"v100","หั่น","hàn","to chop","verbs","","","",""
"v101","ล้าง","láang","to wash","verbs","","","",""
"v102","อบ","òp","to bake","verbs","","","",""
"v103","ฟันขึ้น","fan-kêun","to be teething","verbs","","","",""
"v104","ให้นมลูก","hâi-nom-lôok","to breast-feed","verbs","","","",""
"v105","ลอง","lorng","to try on","verbs","","","",""
"v106","พอดี","por-dee","to fit","verbs","","","",""
"tr01","คนเดินทางไปทำงาน","kon-dern-taang-bpai-tam-ngaan","commuter","transport","","","",""
"tr02","ผู้โดยสาร","pôo-dohy-sǎan","passenger","transport","","","",""
"tr03","คนเดินเท้า","kon-dern-táao","pedestrian","transport","","","",""
"tr04","การจราจร","gaan-jà-raa-jorn","traffic","transport","","","",""
"tr05","รถติด","rót-dtìt","traffic jam","transport","","","",""
"tr06","ชั่วโมงเร่งด่วน","chûa-mohng-râyng-dùan","rush hour","transport","","","",""
"tr07","ขนส่งสาธารณะ","kǒn-sòng-sǎa-taa-rá-ná","public transport","transport","","","",""
"tr08","ที่จอดแท็กซี่","têe-jòrt-táek-sêe","taxi rank","transport","","","",""
"tr09","เส้นทาง","sên-taang","route / directions","transport","","","",""
"tr10","แผนที่","pǎirn-têe","map","transport","","","",""
"tr11","ป้ายจราจร","bpâai-jà-raa-jorn","road sign","transport","","","",""
"tr12","ตารางเดินรถ","dtaa-raang-dern-rót","timetable","transport","","","",""
"tr13","เฮลิคอปเตอร์","hay-lí-kóp-dtêr","helicopter","transport","","","",""
"tr14","ปีกหมุน","bpèek-mǔn","rotor","transport","","","",""
"tr15","ใบพัด","bai-pát","blade (rotor)","transport","","","",""
"tr16","ที่นั่งนักบิน","têe-nâng-nák-bin","cockpit","transport","","","",""
"tr17","มินิแวน","mí-ní-wairn","people carrier","transport","","","",""
"tr18","รถคาราวาน","rót-kaa-raa-waan","caravan","transport","","","",""
"tr19","รถบ้าน","rót-bâan","motorhome","transport","","","",""
"tr20","รถเช่า","rót-châo","car hire / rental","transport","","","",""
"tr21","ทางเบี่ยง","taang-bìang","diversion","transport","","","",""
"tr22","ทำถนน","tam-tà-nǒn","roadworks","transport","","","",""
"tr23","เครื่องเก็บค่าจอดรถ","krêuang-gèp-kâa-jòrt-rót","parking meter","transport","","","",""
"tr24","ใบขับขี่","bai-kàp-kèe","driving licence","transport","","","",""
"tr25","คู่มือทะเบียนรถ","kôo-meu-tá-bian-rót","car registration document","transport","","","",""
"tr26","ประกันภัยรถยนต์","bprà-gan-pai-rót-yon","car insurance","transport","","","",""
"tr27","น้ำมันไร้สารตะกั่ว","nám-man-rái-sǎan-dtà-gùa","unleaded petrol","transport","","","",""
